alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,latitude,longitude,address_1,address_2,address_3,city,zip_code,country,state,display_address,category_1,category_2,category_3,,
loqui-culver-city,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 34.0274352, 'longitude': -118.387498}",,2417.442474,LXhSp1RYSHIEZ4c01ewmPA,https://s3-media2.fl.yelpcdn.com/bphoto/wjV3vEGKnaoMxm-fP2wROA/o.jpg,FALSE,"{'address1': '8830 Washington Blvd', 'address2': 'Ste 104', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['8830 Washington Blvd', 'Ste 104', 'Culver City, CA 90232']}",Loqui,,$$,4,617,[],https://www.yelp.com/biz/loqui-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.0274352,-118.387498,8830 Washington Blvd,Ste 104,,Culver City,90232,US,CA,"['8830 Washington Blvd', 'Ste 104', 'Culver City, CA 90232']",Mexican,,,,
bennys-tacos-and-chicken-rotisserie-culver-city,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 34.020608, 'longitude': -118.404542}",(424) 298-8327,1618.03581,iKCpdatfHBS4j7FfJNo1uA,https://s3-media1.fl.yelpcdn.com/bphoto/C4U56ezR6cHSFEnwV6nKqw/o.jpg,FALSE,"{'address1': '10401 Venice Blvd', 'address2': 'Ste 101-B', 'address3': None, 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['10401 Venice Blvd', 'Ste 101-B', 'Culver City, CA 90232']}",Benny's Tacos & Chicken Rotisserie,14242988327,$,4.5,613,"['pickup', 'delivery']",https://www.yelp.com/biz/bennys-tacos-and-chicken-rotisserie-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.020608,-118.404542,10401 Venice Blvd,Ste 101-B,,Culver City,90232,US,CA,"['10401 Venice Blvd', 'Ste 101-B', 'Culver City, CA 90232']",Mexican,Breakfast & Brunch,Cocktail Bars,,
ugly-roll-sushi-los-angeles,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}]","{'latitude': 34.0193710033041, 'longitude': -118.421832828561}",(310) 837-8500,2542.685783,qYcAdbzRGpMUcnuGL30Zpw,https://s3-media2.fl.yelpcdn.com/bphoto/gVcj9Hn2cK_mDC6-UzxyAw/o.jpg,FALSE,"{'address1': '11128 Palms Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['11128 Palms Blvd', 'Los Angeles, CA 90034']}",Ugly Roll Sushi,13108378500,$,3.5,613,"['pickup', 'delivery']",https://www.yelp.com/biz/ugly-roll-sushi-los-angeles?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.019371,-118.4218328,11128 Palms Blvd,,,Los Angeles,90034,US,CA,"['11128 Palms Blvd', 'Los Angeles, CA 90034']",Sushi Bars,Food Delivery Services,,,
olive-garden-italian-restaurant-culver-city-2,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'soup', 'title': 'Soup'}]","{'latitude': 33.9850365250133, 'longitude': -118.395060944775}",(310) 313-9185,2470.365054,cU13hUN-g34f6eO7I8x7jg,https://s3-media3.fl.yelpcdn.com/bphoto/FcYB-5J_b6BeOIBCRakSkA/o.jpg,FALSE,"{'address1': '6000 Sepulveda Blvd', 'address2': 'Ste 1220', 'address3': '', 'city': 'Culver City', 'zip_code': '90230', 'country': 'US', 'state': 'CA', 'display_address': ['6000 Sepulveda Blvd', 'Ste 1220', 'Culver City, CA 90230']}",Olive Garden Italian Restaurant,13103139185,$$,3,601,[],https://www.yelp.com/biz/olive-garden-italian-restaurant-culver-city-2?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,33.98503653,-118.3950609,6000 Sepulveda Blvd,Ste 1220,,Culver City,90230,US,CA,"['6000 Sepulveda Blvd', 'Ste 1220', 'Culver City, CA 90230']",Italian,Salad,Soup,,
kogi-taqueria-los-angeles,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]","{'latitude': 34.0245048089441, 'longitude': -118.411181166243}",(424) 326-3031,2285.617124,4naS3jOXLWXpAGOHlldeSQ,https://s3-media1.fl.yelpcdn.com/bphoto/HIEocb7DHF3AdB-10YgcIA/o.jpg,FALSE,"{'address1': '3500 Overland Ave', 'address2': 'Ste 100', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['3500 Overland Ave', 'Ste 100', 'Los Angeles, CA 90034']}",Kogi Taqueria,14243263031,$,3.5,596,['delivery'],https://www.yelp.com/biz/kogi-taqueria-los-angeles?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.02450481,-118.4111812,3500 Overland Ave,Ste 100,,Los Angeles,90034,US,CA,"['3500 Overland Ave', 'Ste 100', 'Los Angeles, CA 90034']",Mexican,Asian Fusion,Food Trucks,,
angel-maid-bakery-los-angeles,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 33.99237, 'longitude': -118.42219}",(310) 915-2078,2773.167892,yt89Nv25V6h-VmPEsdaEGg,https://s3-media2.fl.yelpcdn.com/bphoto/pM-zygZPnzMqkqt8jFExpg/o.jpg,FALSE,"{'address1': '4542 S Centinela Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90066', 'country': 'US', 'state': 'CA', 'display_address': ['4542 S Centinela Ave', 'Los Angeles, CA 90066']}",Angel Maid Bakery,13109152078,$$,4.5,591,[],https://www.yelp.com/biz/angel-maid-bakery-los-angeles?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,33.99237,-118.42219,4542 S Centinela Ave,,,Los Angeles,90066,US,CA,"['4542 S Centinela Ave', 'Los Angeles, CA 90066']",Bakeries,Desserts,,,
in-n-out-burger-los-angeles-3,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'latitude': 34.0264602, 'longitude': -118.3942849}",(800) 786-1000,2176.302099,Gox5gWQiP1o1kmExSF8JnQ,https://s3-media4.fl.yelpcdn.com/bphoto/gUFkd_ZkVyhB06yY3dwqJA/o.jpg,FALSE,"{'address1': '9245 Venice Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['9245 Venice Blvd', 'Los Angeles, CA 90034']}",In-N-Out Burger,18007861000,$,3.5,591,[],https://www.yelp.com/biz/in-n-out-burger-los-angeles-3?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.0264602,-118.3942849,9245 Venice Blvd,,,Los Angeles,90034,US,CA,"['9245 Venice Blvd', 'Los Angeles, CA 90034']",Burgers,Fast Food,,,
brunello-trattoria-culver-city,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 34.031938, 'longitude': -118.37636}",(310) 280-3856,3401.348154,RLMdyA9I8LzSV7OShN0mzA,https://s3-media2.fl.yelpcdn.com/bphoto/TK_6eG-BHVWNLnN5BYO-Dw/o.jpg,FALSE,"{'address1': '6001 Washington Blvd', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['6001 Washington Blvd', 'Culver City, CA 90232']}",Brunello Trattoria,13102803856,$$,4,590,"['pickup', 'delivery']",https://www.yelp.com/biz/brunello-trattoria-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.031938,-118.37636,6001 Washington Blvd,,,Culver City,90232,US,CA,"['6001 Washington Blvd', 'Culver City, CA 90232']",Italian,Pizza,Bars,,
bkk101-thai-cuisine-los-angeles,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 34.0135706159562, 'longitude': -118.41686799577}",(310) 287-9999,1886.031353,TlXA59FdW-ah49T31sH-Vw,https://s3-media1.fl.yelpcdn.com/bphoto/3i73ku6ybgxQTb1MdWK6Qw/o.jpg,FALSE,"{'address1': '11127 Venice Blvd', 'address2': 'Ste 10', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['11127 Venice Blvd', 'Ste 10', 'Los Angeles, CA 90034']}",BKK101 Thai Cuisine,13102879999,$$,4,590,"['pickup', 'delivery']",https://www.yelp.com/biz/bkk101-thai-cuisine-los-angeles?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.01357062,-118.416868,11127 Venice Blvd,Ste 10,,Los Angeles,90034,US,CA,"['11127 Venice Blvd', 'Ste 10', 'Los Angeles, CA 90034']",Thai,Soup,Asian Fusion,,
lodge-bread-los-angeles,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 33.9978245979172, 'longitude': -118.42031159448}",(424) 384-5097,2315.730819,8U25CW8za6U7ycNTlpJ2uQ,https://s3-media1.fl.yelpcdn.com/bphoto/oPwTAFYedcv_ueVFQZx41w/o.jpg,FALSE,"{'address1': '11918 Washington Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90066', 'country': 'US', 'state': 'CA', 'display_address': ['11918 Washington Blvd', 'Los Angeles, CA 90066']}",Lodge Bread,14243845097,$$,4,585,[],https://www.yelp.com/biz/lodge-bread-los-angeles?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,33.9978246,-118.4203116,11918 Washington Blvd,,,Los Angeles,90066,US,CA,"['11918 Washington Blvd', 'Los Angeles, CA 90066']",Bakeries,Pizza,Sandwiches,,
cinco-de-mayo-culver-city-2,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 34.008403, 'longitude': -118.414024}",(310) 391-5354,1488.972784,UsVOro3BKphsENsikarArA,https://s3-media2.fl.yelpcdn.com/bphoto/zlOdKtYx3jB5n4EvXs4ARQ/o.jpg,FALSE,"{'address1': '11204 Washington Pl', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90230', 'country': 'US', 'state': 'CA', 'display_address': ['11204 Washington Pl', 'Culver City, CA 90230']}",Cinco De Mayo,13103915354,$,3.5,580,[],https://www.yelp.com/biz/cinco-de-mayo-culver-city-2?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.008403,-118.414024,11204 Washington Pl,,,Culver City,90230,US,CA,"['11204 Washington Pl', 'Culver City, CA 90230']",Mexican,,,,
super-pho-and-teriyaki-los-angeles,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 34.0152361, 'longitude': -118.4135667}",(310) 204-2829,1704.797722,gZ9q8LRvk75jSwZwpgBXvg,https://s3-media3.fl.yelpcdn.com/bphoto/hZWytqEY9FO07MWF9fUx3A/o.jpg,FALSE,"{'address1': '10953 Venice Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['10953 Venice Blvd', 'Los Angeles, CA 90034']}",Super Pho & Teriyaki,13102042829,$,3.5,569,[],https://www.yelp.com/biz/super-pho-and-teriyaki-los-angeles?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.0152361,-118.4135667,10953 Venice Blvd,,,Los Angeles,90034,US,CA,"['10953 Venice Blvd', 'Los Angeles, CA 90034']",Vietnamese,,,,
jasmine-market-and-deli-culver-city,"[{'alias': 'burmese', 'title': 'Burmese'}, {'alias': 'indpak', 'title': 'Indian'}, {'alias': 'halal', 'title': 'Halal'}]","{'latitude': 34.0057426085365, 'longitude': -118.41230846045}",(310) 313-3767,1333.187559,rbcoewz2xcqaKfIolUb2qg,https://s3-media3.fl.yelpcdn.com/bphoto/3mJX2wcE47jSpP5a1Uohww/o.jpg,FALSE,"{'address1': '4135 1/2 Sepulveda Blvd', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90230', 'country': 'US', 'state': 'CA', 'display_address': ['4135 1/2 Sepulveda Blvd', 'Culver City, CA 90230']}",Jasmine Market & Deli,13103133767,$,4.5,563,"['delivery', 'pickup']",https://www.yelp.com/biz/jasmine-market-and-deli-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.00574261,-118.4123085,4135 1/2 Sepulveda Blvd,,,Culver City,90230,US,CA,"['4135 1/2 Sepulveda Blvd', 'Culver City, CA 90230']",Burmese,Indian,Halal,,
mega-grille-culver-city-3,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'persian', 'title': 'Persian/Iranian'}]","{'latitude': 34.0104141235352, 'longitude': -118.410858154297}",(424) 298-8135,1246.984731,9Xl19xMStD4FA8mxwhIgiw,https://s3-media3.fl.yelpcdn.com/bphoto/VwGNLo8TKusjYESaA_SdTQ/o.jpg,FALSE,"{'address1': '11028 Washington Blvd', 'address2': None, 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['11028 Washington Blvd', 'Culver City, CA 90232']}",Mega Grille,14242988135,$$,4.5,561,"['pickup', 'delivery']",https://www.yelp.com/biz/mega-grille-culver-city-3?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.01041412,-118.4108582,11028 Washington Blvd,,,Culver City,90232,US,CA,"['11028 Washington Blvd', 'Culver City, CA 90232']",Pizza,Halal,Persian/Iranian,,
roccos-tavern-culver-city,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 34.02435, 'longitude': -118.39456}",(310) 559-5500,1960.827697,1sZGYKAmcg9XfmkDjj_GGg,https://s3-media3.fl.yelpcdn.com/bphoto/5TTVb65OYahtdwQDft6p0w/o.jpg,FALSE,"{'address1': '3843 Main St', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['3843 Main St', 'Culver City, CA 90232']}",Rocco's Tavern,13105595500,$$,3.5,559,['pickup'],https://www.yelp.com/biz/roccos-tavern-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.02435,-118.39456,3843 Main St,,,Culver City,90232,US,CA,"['3843 Main St', 'Culver City, CA 90232']",Pizza,Sports Bars,Italian,,
almaza-los-angeles-2,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 34.02948, 'longitude': -118.38901}",(310) 280-9006,2587.578422,Su29UkrAhKaYyctbxrqrfQ,https://s3-media3.fl.yelpcdn.com/bphoto/4ZepI8RJbV4NK1S-JbQ3yg/o.jpg,FALSE,"{'address1': '8905 W Venice Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['8905 W Venice Blvd', 'Los Angeles, CA 90034']}",Almaza,13102809006,$$,4,552,"['pickup', 'delivery']",https://www.yelp.com/biz/almaza-los-angeles-2?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.02948,-118.38901,8905 W Venice Blvd,,,Los Angeles,90034,US,CA,"['8905 W Venice Blvd', 'Los Angeles, CA 90034']",Mediterranean,Desserts,Sandwiches,,
annapurna-cuisine-culver-city,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'buffets', 'title': 'Buffets'}]","{'latitude': 34.020733, 'longitude': -118.40168}",(310) 204-5500,1551.947246,LD4N3CKqjKqWYv_xhSm1qQ,https://s3-media3.fl.yelpcdn.com/bphoto/jBKuCI5d7tL4nxIHUkzpMg/o.jpg,FALSE,"{'address1': '10200 Venice Blvd', 'address2': 'Ste 101', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['10200 Venice Blvd', 'Ste 101', 'Culver City, CA 90232']}",Annapurna Cuisine,13102045500,$$,4,542,"['pickup', 'delivery']",https://www.yelp.com/biz/annapurna-cuisine-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.020733,-118.40168,10200 Venice Blvd,Ste 101,,Culver City,90232,US,CA,"['10200 Venice Blvd', 'Ste 101', 'Culver City, CA 90232']",Indian,Vegetarian,Buffets,,
grand-casino-bakery-and-café-culver-city,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 34.02507, 'longitude': -118.39439}",(310) 202-6969,2018.73712,6n4piw0YlY6t7swlHDdzdg,https://s3-media3.fl.yelpcdn.com/bphoto/GUNsPasa0mLpVh-s97NkZQ/o.jpg,FALSE,"{'address1': '3826 Main St', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['3826 Main St', 'Culver City, CA 90232']}",Grand Casino Bakery & Café,13102026969,$$,4,541,[],https://www.yelp.com/biz/grand-casino-bakery-and-caf%C3%A9-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.02507,-118.39439,3826 Main St,,,Culver City,90232,US,CA,"['3826 Main St', 'Culver City, CA 90232']",Bakeries,Breakfast & Brunch,Cafes,,
pepes-tacos-los-angeles,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 33.991587, 'longitude': -118.421441}",(310) 391-8667,2770.86809,TGuu89JfPBZaefvBpjhasw,https://s3-media2.fl.yelpcdn.com/bphoto/NuN0H_2mKQ6wv7rg_HuoOA/o.jpg,FALSE,"{'address1': '4582 S Centinela Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90066', 'country': 'US', 'state': 'CA', 'display_address': ['4582 S Centinela Ave', 'Los Angeles, CA 90066']}",Pepe's Tacos,13103918667,$,4,541,[],https://www.yelp.com/biz/pepes-tacos-los-angeles?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,33.991587,-118.421441,4582 S Centinela Ave,,,Los Angeles,90066,US,CA,"['4582 S Centinela Ave', 'Los Angeles, CA 90066']",Mexican,,,,
kotoya-ramen-los-angeles-8,"[{'alias': 'ramen', 'title': 'Ramen'}]","{'latitude': 34.0287551620623, 'longitude': -118.411274230794}",,2700.948277,fJPNeehpCzvDyIumvz_owg,https://s3-media4.fl.yelpcdn.com/bphoto/7_60spq4TzWsy7nh19eSWQ/o.jpg,FALSE,"{'address1': '10422 National Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['10422 National Blvd', 'Los Angeles, CA 90034']}",Kotoya Ramen,,$$,4,538,['pickup'],https://www.yelp.com/biz/kotoya-ramen-los-angeles-8?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.02875516,-118.4112742,10422 National Blvd,,,Los Angeles,90034,US,CA,"['10422 National Blvd', 'Los Angeles, CA 90034']",Ramen,,,,
lonzos-restaurant-culver-city-3,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'peruvian', 'title': 'Peruvian'}]","{'latitude': 34.015007, 'longitude': -118.407244}",(310) 842-7876,1226.154578,1RjpFWxOMvJRbhpZF7vZqA,https://s3-media2.fl.yelpcdn.com/bphoto/7FkRel-HtKMnTQsW49askA/o.jpg,FALSE,"{'address1': '10804 Washington Blvd', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['10804 Washington Blvd', 'Culver City, CA 90232']}",Lonzo's Restaurant,13108427876,$$,4.5,530,"['delivery', 'pickup']",https://www.yelp.com/biz/lonzos-restaurant-culver-city-3?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.015007,-118.407244,10804 Washington Blvd,,,Culver City,90232,US,CA,"['10804 Washington Blvd', 'Culver City, CA 90232']",Bakeries,Peruvian,,,
the-garage-on-motor-ave-los-angeles,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]","{'latitude': 34.0276505239069, 'longitude': -118.409853711639}",(310) 559-3400,2532.733402,R0EW_8BJ-BvLAgoY6-lL8g,https://s3-media2.fl.yelpcdn.com/bphoto/E_WuA4fV6NkgWuV_V8XkPA/o.jpg,FALSE,"{'address1': '3387 Motor Ave', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90034', 'country': 'US', 'state': 'CA', 'display_address': ['3387 Motor Ave', 'Los Angeles, CA 90034']}",The Garage on Motor Ave,13105593400,$$,3.5,499,"['delivery', 'pickup']",https://www.yelp.com/biz/the-garage-on-motor-ave-los-angeles?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.02765052,-118.4098537,3387 Motor Ave,,,Los Angeles,90034,US,CA,"['3387 Motor Ave', 'Los Angeles, CA 90034']",American (New),Burgers,Sports Bars,,
bar-nine-culver-city-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 34.026842, 'longitude': -118.383647}",(310) 837-7815,2557.89259,Cj_118R9ij-WmaizgINbzg,https://s3-media2.fl.yelpcdn.com/bphoto/qrRjmX6DhjAWBR_5X3JE0A/o.jpg,FALSE,"{'address1': '3515 Helms Ave', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['3515 Helms Ave', 'Culver City, CA 90232']}",Bar Nine,13108377815,$$,4,498,[],https://www.yelp.com/biz/bar-nine-culver-city-2?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,34.026842,-118.383647,3515 Helms Ave,,,Culver City,90232,US,CA,"['3515 Helms Ave', 'Culver City, CA 90232']",Coffee & Tea,,,,
california-fish-grill-culver-city,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}]","{'latitude': 33.988114, 'longitude': -118.393099}",(310) 586-3242,2160.476472,RI4tS3ZCNAKKubTphnKOJA,https://s3-media2.fl.yelpcdn.com/bphoto/Sj7xcc8jr4Jx-IOjPQp6-Q/o.jpg,FALSE,"{'address1': '6150 Slauson Ave', 'address2': 'Ste 107', 'address3': None, 'city': 'Culver City', 'zip_code': '90230', 'country': 'US', 'state': 'CA', 'display_address': ['6150 Slauson Ave', 'Ste 107', 'Culver City, CA 90230']}",California Fish Grill,13105863242,$$,3.5,494,[],https://www.yelp.com/biz/california-fish-grill-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,33.988114,-118.393099,6150 Slauson Ave,Ste 107,,Culver City,90230,US,CA,"['6150 Slauson Ave', 'Ste 107', 'Culver City, CA 90230']",Seafood,Tacos,Fish & Chips,,
tacomiendo-culver-city,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 33.9948548, 'longitude': -118.4175322}",(310) 915-0426,2254.324645,XaZ_ELfr1AoNgJn0Hiy8Gw,https://s3-media1.fl.yelpcdn.com/bphoto/HQPbMMS8hg6RUwi1AnsBcQ/o.jpg,FALSE,"{'address1': '4502 Inglewood Blvd', 'address2': '', 'address3': '', 'city': 'Culver City', 'zip_code': '90230', 'country': 'US', 'state': 'CA', 'display_address': ['4502 Inglewood Blvd', 'Culver City, CA 90230']}",Tacomiendo,13109150426,$,4,478,[],https://www.yelp.com/biz/tacomiendo-culver-city?adjust_creative=vE5o-7kXQ6SwrxOc8qy3QQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vE5o-7kXQ6SwrxOc8qy3QQ,33.9948548,-118.4175322,4502 Inglewood Blvd,,,Culver City,90230,US,CA,"['4502 Inglewood Blvd', 'Culver City, CA 90230']",Mexican,,,,
